1,58,90,66,214,71
2,85,75,52,212,70
3,61,100,56,217,72
4,68,68,84,220,73
5,60,93,88,241,80
6,57,69,62,188,62
7,72,83,61,216,72
8,82,99,67,248,82
9,82,79,84,245,81
10,60,63,61,184,61
11,86,94,55,235,78
12,61,89,97,247,82
13,86,73,54,213,71
14,68,95,60,223,74
15,76,91,88,255,85
16,73,95,59,227,75
17,92,64,51,207,69
18,100,86,96,282,94
19,61,56,87,204,68
20,87,91,78,256,85
21,83,68,54,205,68
22,87,86,76,249,83
23,58,71,84,213,71
24,93,67,97,257,85
25,90,86,60,236,78
26,60,62,89,211,70
27,83,94,82,259,86
28,86,76,86,248,82
29,84,59,82,225,75
30,95,88,53,236,78
